passer,team,passerid,airyards,completion,int,td
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,22,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,-5,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,35,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,44,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,5,Complete,0,1
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,8,Incomplete Pass,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,7,Complete,0,1
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,25,Complete,0,1
T.Brady,NE,0,20,Incomplete Pass,0,0
T.Brady,NE,0,20,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,24,Complete,0,1
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,-6,Complete,0,0
T.Brady,NE,0,9,Incomplete Pass,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,49,Incomplete Pass,0,0
T.Brady,NE,0,27,Complete,0,0
T.Brady,NE,0,25,Complete,0,1
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,25,Incomplete Pass,0,0
T.Brady,NE,0,-4,Incomplete Pass,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,24,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,41,Incomplete Pass,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,36,Incomplete Pass,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,24,Incomplete Pass,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,1
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,19,Incomplete Pass,1,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,19,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,22,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,5,Complete,0,1
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,29,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,23,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,41,Incomplete Pass,0,0
T.Brady,NE,0,9,Incomplete Pass,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,13,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,14,Incomplete Pass,0,0
T.Brady,NE,0,57,Incomplete Pass,1,0
T.Brady,NE,0,24,Incomplete Pass,0,0
T.Brady,NE,0,29,Incomplete Pass,0,0
T.Brady,NE,0,8,Incomplete Pass,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,42,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,13,Incomplete Pass,0,0
T.Brady,NE,0,19,Complete,0,0
T.Brady,NE,0,31,Incomplete Pass,0,0
T.Brady,NE,0,13,Complete,0,1
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,19,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,8,Incomplete Pass,0,0
T.Brady,NE,0,-6,Complete,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,-4,Complete,0,1
T.Brady,NE,0,11,Incomplete Pass,0,0
T.Brady,NE,0,16,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,26,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,29,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,22,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,26,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,20,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,-6,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,61,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,36,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,10,Incomplete Pass,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,15,Incomplete Pass,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,12,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,12,Incomplete Pass,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,5,Complete,0,1
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,18,Incomplete Pass,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,18,Complete,0,0
T.Brady,NE,0,11,Incomplete Pass,0,0
T.Brady,NE,0,11,Complete,0,1
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,23,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,24,Incomplete Pass,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,38,Incomplete Pass,0,0
T.Brady,NE,0,-7,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,1
T.Brady,NE,0,29,Incomplete Pass,0,0
T.Brady,NE,0,16,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,-5,Complete,0,0
T.Brady,NE,0,6,Complete,0,1
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,42,Incomplete Pass,0,0
T.Brady,NE,0,49,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,-2,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,5,Complete,0,1
T.Brady,NE,0,21,Incomplete Pass,0,0
T.Brady,NE,0,14,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,34,Complete,0,1
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,13,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,8,Incomplete Pass,0,0
T.Brady,NE,0,9,Incomplete Pass,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,11,Incomplete Pass,0,0
T.Brady,NE,0,22,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,11,Complete,0,0
T.Brady,NE,0,5,Complete,0,1
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,25,Complete,0,0
T.Brady,NE,0,1,Complete,0,1
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,15,Incomplete Pass,0,0
T.Brady,NE,0,-8,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,1,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,15,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,16,Incomplete Pass,0,0
T.Brady,NE,0,22,Complete,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,1
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,16,Incomplete Pass,0,0
T.Brady,NE,0,27,Complete,0,0
T.Brady,NE,0,22,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-6,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,29,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,35,Incomplete Pass,1,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,13,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,-1,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,-5,Complete,0,0
T.Brady,NE,0,6,Incomplete Pass,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,61,Incomplete Pass,1,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,8,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,42,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,1
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,8,Incomplete Pass,0,0
T.Brady,NE,0,-4,Complete,0,0
T.Brady,NE,0,9,Incomplete Pass,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,25,Incomplete Pass,0,0
T.Brady,NE,0,46,Incomplete Pass,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,37,Complete,0,0
T.Brady,NE,0,19,Complete,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,5,Incomplete Pass,0,0
T.Brady,NE,0,13,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,43,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,19,Complete,0,0
T.Brady,NE,0,18,Incomplete Pass,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,14,Incomplete Pass,0,0
T.Brady,NE,0,9,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,20,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,1
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,1,0
T.Brady,NE,0,-4,Incomplete Pass,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,17,Incomplete Pass,0,0
T.Brady,NE,0,15,Incomplete Pass,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,24,Complete,0,0
T.Brady,NE,0,23,Complete,0,0
T.Brady,NE,0,16,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,22,Incomplete Pass,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,12,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,27,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,1,1
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,-5,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,11,Incomplete Pass,0,0
T.Brady,NE,0,16,Complete,0,1
T.Brady,NE,0,43,Incomplete Pass,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,15,Complete,0,0
T.Brady,NE,0,9,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,6,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,-3,Complete,0,1
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,13,Complete,0,0
T.Brady,NE,0,7,Complete,0,0
T.Brady,NE,0,-6,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,5,Complete,0,0
T.Brady,NE,0,0,Complete,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,47,Incomplete Pass,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,0,Incomplete Pass,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,39,Incomplete Pass,0,0
T.Brady,NE,0,15,Incomplete Pass,0,0
T.Brady,NE,0,-2,Complete,0,0
T.Brady,NE,0,5,Complete,0,1
T.Brady,NE,0,10,Complete,0,0
T.Brady,NE,0,16,Incomplete Pass,0,0
T.Brady,NE,0,11,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,-3,Complete,0,0
T.Brady,NE,0,0,Complete,0,1
T.Brady,NE,0,31,Incomplete Pass,0,0
T.Brady,NE,0,22,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,8,Complete,0,0
T.Brady,NE,0,-6,Complete,0,0
T.Brady,NE,0,17,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,-3,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,33,Complete,0,0
T.Brady,NE,0,7,Incomplete Pass,0,0
T.Brady,NE,0,13,Incomplete Pass,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,4,Complete,0,0
A.Smith,KC,1,-1,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,11,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,0,Incomplete Pass,0,0
A.Smith,KC,1,7,Complete,0,1
A.Smith,KC,1,16,Incomplete Pass,0,0
A.Smith,KC,1,3,Complete,0,0
A.Smith,KC,1,13,Complete,0,0
A.Smith,KC,1,6,Complete,0,0
A.Smith,KC,1,16,Incomplete Pass,0,0
A.Smith,KC,1,11,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,8,Complete,0,0
A.Smith,KC,1,-3,Complete,0,0
A.Smith,KC,1,0,Complete,0,1
A.Smith,KC,1,-3,Complete,0,0
A.Smith,KC,1,-6,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,41,Complete,0,1
A.Smith,KC,1,33,Incomplete Pass,0,0
A.Smith,KC,1,12,Incomplete Pass,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,31,Complete,0,1
A.Smith,KC,1,16,Incomplete Pass,0,0
A.Smith,KC,1,3,Complete,0,0
A.Smith,KC,1,4,Complete,0,0
A.Smith,KC,1,-2,Complete,0,0
A.Smith,KC,1,22,Complete,0,0
A.Smith,KC,1,0,Incomplete Pass,0,0
A.Smith,KC,1,5,Complete,0,0
A.Smith,KC,1,7,Complete,0,0
A.Smith,KC,1,7,Complete,0,0
A.Smith,KC,1,21,Complete,0,0
A.Smith,KC,1,3,Incomplete Pass,0,0
