T.Brady,NE,AirYards,Completion,Touchdown,Interception,Down,Quarter,offScore
16,Complete,0,0,2,3,21,19,16
24,Complete,1,0,1,3,21,19,16
6,Complete,0,0,3,3,28,26,18
4,Complete,0,0,1,3,28,26,18
-3,Complete,0,0,3,3,28,26,18
4,Complete,0,0,1,4,28,29,22
-6,Complete,0,0,2,4,28,29,22
9,Incomplete Pass,0,0,3,4,28,29,22
10,Incomplete Pass,0,0,1,4,28,32,24
5,Complete,0,0,2,4,28,32,24
8,Complete,0,0,3,4,28,32,24
18,Complete,0,0,1,4,28,32,24
49,Incomplete Pass,0,0,2,4,28,32,24
27,Complete,0,0,3,4,28,32,24
25,Complete,1,0,1,4,28,32,24
0,Complete,0,0,NA,4,34,32,24
5,Complete,0,0,1,1,0,0,1
13,Complete,0,0,2,1,0,0,1
4,Complete,0,0,1,1,0,0,1
14,Complete,0,0,2,1,0,0,1
25,Incomplete Pass,0,0,1,1,0,0,1
-4,Incomplete Pass,0,0,2,1,0,0,1
5,Complete,0,0,3,1,0,0,1
1,Complete,0,0,2,1,3,3,3
-3,Complete,0,0,1,1,3,3,3
4,Incomplete Pass,0,0,2,1,3,3,3
2,Complete,0,0,2,1,3,3,5
-2,Complete,0,0,3,1,3,3,5
1,Complete,0,0,1,1,3,3,5
-4,Complete,0,0,1,2,3,3,5
2,Incomplete Pass,0,0,2,2,3,3,5
2,Complete,1,0,3,2,3,3,5
4,Complete,0,0,3,2,10,10,7
24,Complete,0,0,2,2,10,10,7
-2,Complete,0,0,1,2,10,10,7
17,Incomplete Pass,0,0,2,2,10,10,7
7,Incomplete Pass,0,0,3,2,10,10,7
4,Complete,0,0,1,2,13,17,9
41,Incomplete Pass,0,0,2,2,13,17,9
18,Complete,0,0,3,2,13,17,9
5,Incomplete Pass,0,0,1,3,16,17,11
5,Complete,0,0,2,3,16,17,11
-4,Complete,0,0,3,3,16,17,11
36,Incomplete Pass,0,0,2,3,16,17,11
15,Complete,0,0,1,3,16,23,13
4,Complete,0,0,2,3,16,23,13
24,Incomplete Pass,0,0,3,3,16,23,13
-3,Complete,0,0,1,4,16,30,15
5,Complete,0,0,2,4,16,30,15
11,Complete,0,0,1,4,16,30,15
5,Complete,0,0,2,4,16,30,15
4,Incomplete Pass,0,0,3,4,16,30,15
7,Complete,0,0,4,4,16,30,15
7,Complete,0,0,1,4,16,30,15
17,Complete,0,0,1,4,23,30,17
5,Incomplete Pass,0,0,1,4,23,30,17
7,Complete,0,0,2,4,23,30,17
5,Complete,0,0,3,4,23,30,17
7,Complete,0,0,2,4,23,30,17
0,Incomplete Pass,0,0,3,4,23,30,17
1,Complete,1,0,4,4,23,30,17
6,Complete,0,0,1,1,0,0,1
3,Complete,0,0,2,1,0,0,1
4,Complete,0,0,1,1,0,0,1
2,Complete,0,0,2,1,0,0,1
19,Incomplete Pass,0,1,1,1,0,0,1
10,Incomplete Pass,0,0,1,1,0,0,3
-2,Complete,0,0,2,1,0,0,3
10,Incomplete Pass,0,0,3,1,0,0,3
12,Complete,0,0,3,1,0,0,5
13,Complete,0,0,1,1,0,0,5
13,Complete,0,0,2,1,0,0,5
0,Incomplete Pass,0,0,3,1,0,0,5
-4,Complete,0,0,1,2,3,7,9
-3,Complete,0,0,1,2,3,7,9
19,Complete,0,0,2,2,3,7,9
3,Complete,0,0,3,2,3,7,9
22,Complete,0,0,1,2,3,7,9
-4,Complete,0,0,1,2,3,7,9
5,Complete,1,0,2,2,3,7,9
-4,Complete,0,0,2,2,10,7,11
4,Complete,0,0,3,2,10,7,11
1,Complete,0,0,2,2,10,7,11
0,Complete,0,0,1,3,13,7,14
29,Complete,0,0,1,3,13,7,14
5,Complete,0,0,1,3,13,7,14
2,Incomplete Pass,0,0,2,3,13,7,14
0,Incomplete Pass,0,0,3,3,13,7,14
0,Complete,0,0,1,3,16,7,16
14,Complete,0,0,2,3,16,7,16
5,Incomplete Pass,0,0,1,3,16,7,16
16,Complete,0,0,2,3,16,7,16
3,Complete,0,0,1,3,16,7,16
1,Complete,0,0,1,4,16,7,18
3,Incomplete Pass,0,0,1,4,16,7,18
13,Complete,0,0,3,4,16,7,18
3,Complete,0,0,2,4,16,7,18
23,Incomplete Pass,0,0,3,4,16,7,18
-4,Complete,0,0,2,4,16,7,20
3,Incomplete Pass,0,0,2,4,16,14,22
3,Complete,0,0,3,4,16,14,22
4,Complete,0,0,1,1,0,7,2
5,Incomplete Pass,0,0,2,1,0,7,2
11,Complete,0,0,3,1,0,7,2
41,Incomplete Pass,0,0,2,1,0,7,2
9,Incomplete Pass,0,0,3,1,0,7,2
-3,Complete,0,0,2,1,0,7,4
7,Complete,0,0,3,1,0,7,4
10,Incomplete Pass,0,0,1,2,0,14,6
1,Complete,0,0,2,2,0,14,6
1,Incomplete Pass,0,0,3,2,0,14,6
20,Complete,0,0,2,2,0,14,8
13,Incomplete Pass,0,0,1,2,0,14,8
1,Complete,0,0,2,2,0,14,8
15,Complete,0,0,3,2,0,14,8
14,Incomplete Pass,0,0,1,2,7,14,10
57,Incomplete Pass,0,1,2,2,7,14,10
24,Incomplete Pass,0,0,1,2,7,14,12
29,Incomplete Pass,0,0,2,2,7,14,12
8,Incomplete Pass,0,0,3,2,7,14,12
5,Incomplete Pass,0,0,1,2,7,14,14
2,Complete,0,0,3,2,7,14,14
42,Complete,0,0,1,2,7,14,14
2,Incomplete Pass,0,0,1,2,7,14,14
2,Complete,1,0,2,2,7,14,14
16,Complete,0,0,1,3,14,14,16
13,Incomplete Pass,0,0,2,3,14,14,16
19,Complete,0,0,3,3,14,14,16
31,Incomplete Pass,0,0,2,3,14,14,16
13,Complete,1,0,3,3,14,14,16
10,Complete,0,0,1,3,21,14,18
14,Complete,0,0,3,3,21,14,18
-2,Complete,0,0,1,3,21,14,18
6,Incomplete Pass,0,0,2,4,21,14,18
0,Complete,0,0,1,4,24,14,20
19,Incomplete Pass,0,0,3,4,24,14,20
0,Complete,0,0,2,4,24,17,22
8,Incomplete Pass,0,0,3,4,24,17,22
-6,Complete,0,0,1,1,0,0,1
4,Incomplete Pass,0,0,2,1,0,0,1
5,Complete,0,0,3,1,0,0,1
1,Complete,0,0,2,1,0,0,1
7,Incomplete Pass,0,0,3,1,0,0,1
-1,Complete,0,0,3,1,0,0,3
20,Complete,0,0,3,2,0,0,5
-4,Complete,1,0,2,2,0,0,5
11,Incomplete Pass,0,0,1,2,7,0,7
16,Incomplete Pass,0,0,1,2,7,0,7
3,Complete,0,0,2,2,7,0,7
26,Complete,0,0,3,2,7,0,7
-4,Complete,0,0,2,2,7,0,7
10,Incomplete Pass,0,0,3,2,7,0,7
4,Complete,0,0,2,2,10,0,9
1,Complete,0,0,2,2,10,0,9
18,Complete,0,0,1,2,10,0,9
2,Complete,1,0,2,2,10,0,9
29,Incomplete Pass,0,0,1,3,17,0,12
1,Complete,0,0,2,3,17,0,12
4,Incomplete Pass,0,0,2,3,17,0,12
9,Complete,0,0,3,3,17,0,12
9,Complete,0,0,2,3,17,0,12
9,Complete,0,0,1,3,17,0,12
11,Complete,0,0,2,4,20,0,14
22,Complete,0,0,2,4,20,0,14
2,Incomplete Pass,0,0,1,4,20,0,14
6,Complete,0,0,2,4,20,0,14
3,Complete,0,0,3,4,20,0,14
-3,Complete,0,0,2,1,0,0,2
-3,Complete,0,0,3,1,0,0,2
26,Incomplete Pass,0,0,1,1,0,7,4
0,Complete,0,0,2,1,0,7,4
20,Incomplete Pass,0,0,2,1,0,7,4
-2,Complete,0,0,3,1,0,7,4
-6,Complete,0,0,1,1,0,7,4
6,Complete,0,0,2,1,0,7,4
4,Complete,0,0,3,1,0,7,4
4,Complete,0,0,3,1,0,7,4
2,Complete,1,0,1,2,0,7,4
4,Complete,0,0,1,2,7,7,6
-1,Complete,0,0,2,2,7,7,6
7,Complete,0,0,2,2,7,7,6
61,Incomplete Pass,0,0,3,2,7,7,6
3,Complete,0,0,1,2,7,9,7
7,Complete,0,0,1,2,7,9,7
36,Incomplete Pass,0,0,2,2,7,9,7
4,Complete,0,0,2,2,7,9,7
6,Complete,0,0,2,2,7,9,7
6,Incomplete Pass,0,0,3,2,7,9,7
13,Complete,0,0,1,2,10,9,9
16,Complete,0,0,1,2,10,9,9
3,Incomplete Pass,0,0,2,2,10,9,9
10,Incomplete Pass,0,0,3,2,10,9,9
7,Incomplete Pass,0,0,1,3,13,9,11
15,Incomplete Pass,0,0,2,3,13,9,11
5,Incomplete Pass,0,0,3,3,13,9,11
12,Incomplete Pass,0,0,1,3,13,9,13
2,Complete,0,0,3,3,13,9,13
15,Complete,0,0,2,3,13,9,13
12,Complete,0,0,3,3,13,9,13
17,Incomplete Pass,0,0,3,3,13,9,13
-1,Complete,0,0,1,3,16,9,15
0,Incomplete Pass,0,0,2,3,16,9,15
13,Complete,0,0,3,3,16,9,15
6,Complete,0,0,2,4,16,9,15
4,Complete,0,0,3,4,16,9,15
0,Complete,0,0,2,4,16,9,15
3,Complete,0,0,3,4,16,9,15
15,Complete,0,0,1,4,16,15,17
12,Incomplete Pass,0,0,2,4,16,15,17
6,Incomplete Pass,0,0,3,4,16,15,17
14,Complete,0,0,2,4,16,15,19
3,Complete,0,0,2,4,16,15,19
6,Incomplete Pass,0,0,3,1,0,0,1
4,Complete,0,0,1,1,0,0,2
5,Complete,1,0,1,1,0,0,2
3,Complete,0,0,1,1,14,6,6
1,Complete,0,0,1,1,14,6,6
6,Complete,0,0,3,1,14,6,6
0,Complete,0,0,1,1,14,6,6
9,Complete,0,0,1,1,14,6,6
1,Incomplete Pass,0,0,2,2,14,6,6
11,Complete,0,0,1,2,17,6,8
18,Incomplete Pass,0,0,1,2,17,6,8
5,Complete,0,0,2,2,17,6,8
6,Complete,0,0,2,2,20,9,10
18,Complete,0,0,1,2,20,9,10
11,Incomplete Pass,0,0,1,2,20,9,10
11,Complete,1,0,2,2,20,9,10
9,Complete,0,0,2,3,27,16,13
23,Complete,0,0,1,3,27,16,13
5,Complete,0,0,1,3,27,16,13
0,Complete,0,0,2,3,34,16,15
15,Complete,0,0,1,3,34,16,15
24,Incomplete Pass,0,0,2,4,34,16,15
10,Complete,0,0,3,4,34,16,15
6,Complete,0,0,1,4,34,16,15
38,Incomplete Pass,0,0,2,4,34,16,15
-7,Complete,0,0,3,4,34,16,15
2,Complete,0,0,1,4,34,16,15
5,Complete,0,0,2,4,34,16,15
5,Complete,0,0,1,4,34,16,15
4,Complete,0,0,1,4,34,16,15
6,Incomplete Pass,0,0,2,4,34,16,15
4,Complete,1,0,3,4,34,16,15
29,Incomplete Pass,0,0,2,4,41,16,17
16,Incomplete Pass,0,0,4,4,41,16,17
4,Complete,0,0,2,1,0,0,2
5,Complete,0,0,3,1,0,0,2
-3,Complete,0,0,1,1,0,0,2
6,Complete,0,0,2,1,0,0,2
0,Complete,0,0,2,1,0,0,2
3,Complete,0,0,2,1,0,0,2
10,Complete,0,0,3,1,0,0,2
-5,Complete,0,0,2,1,0,0,2
6,Complete,1,0,2,1,0,0,2
4,Complete,0,0,1,1,7,0,4
13,Complete,0,0,2,1,7,0,4
-2,Complete,0,0,2,2,7,0,4
42,Incomplete Pass,0,0,3,2,7,0,4
49,Complete,0,0,1,2,7,0,6
0,Incomplete Pass,0,0,1,2,7,0,6
8,Complete,0,0,2,2,7,0,6
-2,Incomplete Pass,0,0,1,2,7,0,6
-2,Complete,0,0,2,2,7,0,6
12,Complete,0,0,3,2,7,0,6
-2,Complete,0,0,2,2,7,0,6
5,Complete,1,0,3,2,7,0,6
21,Incomplete Pass,0,0,1,2,14,0,8
14,Complete,0,0,2,2,14,0,8
7,Complete,0,0,1,2,14,0,8
-2,Complete,0,0,1,3,17,0,9
6,Complete,0,0,2,3,17,0,9
34,Complete,1,0,1,3,17,0,9
11,Complete,0,0,1,3,24,0,11
4,Complete,0,0,1,3,24,0,11
1,Complete,0,0,2,3,24,0,11
13,Incomplete Pass,0,0,3,3,24,0,11
1,Complete,0,0,2,3,27,0,13
0,Incomplete Pass,0,0,3,3,27,0,13
6,Complete,0,0,1,4,30,8,15
4,Complete,0,0,2,4,30,8,15
8,Incomplete Pass,0,0,3,4,30,8,15
9,Incomplete Pass,0,0,1,1,0,0,1
0,Complete,0,0,2,1,0,0,1
11,Incomplete Pass,0,0,3,1,0,0,1
22,Complete,0,0,1,1,0,0,1
-4,Complete,0,0,1,1,7,0,3
6,Complete,0,0,2,1,7,0,3
3,Incomplete Pass,0,0,2,1,7,0,3
13,Complete,0,0,3,1,7,0,3
11,Complete,0,0,1,1,7,0,3
5,Complete,1,0,2,1,7,0,3
13,Complete,0,0,1,2,14,0,5
5,Complete,0,0,1,2,14,6,6
5,Incomplete Pass,0,0,2,2,14,6,6
-2,Complete,0,0,2,2,14,6,6
25,Complete,0,0,3,2,14,6,6
1,Complete,1,0,2,2,14,6,6
12,Complete,0,0,1,2,21,9,8
15,Incomplete Pass,0,0,1,2,21,9,8
-8,Complete,0,0,2,2,21,9,8
17,Incomplete Pass,0,1,3,2,21,9,8
6,Incomplete Pass,0,0,1,3,21,9,12
15,Complete,1,0,2,3,21,9,12
1,Complete,0,0,2,3,28,9,14
16,Incomplete Pass,0,0,3,3,28,9,14
22,Complete,0,0,2,3,28,9,16
4,Incomplete Pass,0,0,1,3,28,9,16
5,Incomplete Pass,0,0,1,4,28,16,18
-2,Complete,1,0,2,4,28,16,20
4,Complete,0,0,2,1,0,0,2
-4,Complete,0,0,2,1,0,0,2
5,Complete,0,0,3,1,0,0,2
16,Incomplete Pass,0,0,1,1,0,0,2
27,Complete,0,0,2,1,0,0,2
22,Incomplete Pass,0,0,3,1,0,0,2
-4,Complete,0,0,1,2,3,0,4
-6,Incomplete Pass,0,0,2,2,3,0,4
4,Incomplete Pass,0,0,3,2,3,0,4
12,Complete,0,0,2,2,3,0,6
3,Incomplete Pass,0,0,2,2,3,0,6
7,Complete,0,0,2,2,6,3,8
5,Incomplete Pass,0,0,2,2,6,3,8
5,Complete,0,0,3,2,6,3,8
4,Complete,0,0,1,3,9,3,10
-4,Complete,0,0,2,3,9,3,10
12,Complete,0,0,3,3,9,3,10
13,Complete,0,0,1,3,9,3,10
15,Complete,0,0,1,3,9,3,10
6,Complete,0,0,1,3,16,3,12
1,Complete,0,0,2,3,16,3,12
29,Complete,0,0,2,3,16,3,12
5,Incomplete Pass,0,0,2,3,16,3,12
3,Complete,0,0,3,3,16,3,12
2,Incomplete Pass,0,0,3,4,23,3,14
10,Complete,0,0,1,4,23,3,16
1,Complete,0,0,2,4,23,3,16
16,Complete,0,0,3,4,23,3,16
12,Complete,0,0,1,4,23,3,16
0,Incomplete Pass,0,0,2,1,0,3,2
35,Incomplete Pass,0,1,3,1,0,3,2
2,Incomplete Pass,0,0,1,1,0,6,4
13,Incomplete Pass,0,0,3,1,0,6,4
2,Complete,0,0,1,2,0,6,6
-1,Complete,0,0,2,2,0,6,6
-1,Complete,0,0,2,2,0,6,6
3,Complete,0,0,3,2,0,6,6
3,Complete,0,0,1,2,0,6,8
8,Complete,0,0,2,2,0,6,8
3,Complete,0,0,2,2,0,6,8
-4,Complete,0,0,2,2,7,13,10
-5,Complete,0,0,2,2,7,13,10
6,Incomplete Pass,0,0,1,2,7,13,10
6,Complete,0,0,2,2,7,13,10
-4,Complete,0,0,3,2,7,13,10
2,Complete,0,0,1,3,10,13,12
61,Incomplete Pass,0,1,3,3,10,13,12
7,Complete,0,0,2,3,10,20,14
8,Incomplete Pass,0,0,3,3,10,20,14
2,Incomplete Pass,0,0,1,3,10,27,16
0,Incomplete Pass,0,0,2,3,10,27,16
0,Incomplete Pass,0,0,1,3,10,27,16
42,Incomplete Pass,0,0,3,3,10,27,16
-2,Complete,0,0,1,3,10,27,18
16,Complete,0,0,2,3,10,27,18
1,Complete,0,0,1,4,10,27,18
3,Complete,0,0,2,4,10,27,18
3,Complete,0,0,1,4,10,27,18
1,Complete,1,0,2,4,10,27,18
0,Complete,0,0,1,4,17,27,20
8,Incomplete Pass,0,0,2,4,17,27,20
-4,Complete,0,0,1,4,17,27,22
9,Incomplete Pass,0,0,2,4,17,27,22
5,Incomplete Pass,0,0,3,4,17,27,22
25,Incomplete Pass,0,0,1,4,17,27,24
46,Incomplete Pass,0,0,2,4,17,27,24
8,Complete,0,0,3,4,17,27,24
37,Complete,0,0,1,4,17,27,26
19,Complete,0,0,1,4,17,27,26
5,Incomplete Pass,0,0,1,4,17,27,26
5,Incomplete Pass,0,0,2,4,17,27,26
13,Incomplete Pass,0,0,3,4,17,27,26
2,Complete,0,0,1,1,0,0,2
4,Complete,0,0,1,1,0,0,2
43,Complete,0,0,1,1,0,0,2
2,Complete,0,0,1,1,7,7,4
4,Complete,0,0,2,1,7,7,4
4,Complete,0,0,3,1,7,7,4
5,Complete,0,0,1,2,7,10,6
19,Complete,0,0,1,2,7,10,6
18,Incomplete Pass,0,0,1,2,7,10,6
6,Complete,0,0,2,2,7,10,6
5,Complete,0,0,3,2,7,10,6
14,Incomplete Pass,0,0,2,2,7,10,6
9,Incomplete Pass,0,0,3,2,7,10,6
7,Complete,0,0,1,3,10,17,9
2,Complete,0,0,1,3,10,17,9
20,Complete,0,0,2,3,10,17,9
3,Complete,0,0,3,3,10,17,9
6,Complete,0,0,4,3,10,17,9
3,Incomplete Pass,0,0,2,3,10,17,9
4,Complete,1,0,3,3,10,17,9
10,Complete,0,0,2,3,16,17,11
4,Incomplete Pass,0,0,1,3,16,17,11
2,Incomplete Pass,0,1,3,3,16,17,11
-4,Incomplete Pass,0,0,1,3,16,24,13
10,Complete,0,0,2,3,16,24,13
4,Incomplete Pass,0,0,2,3,16,24,13
2,Incomplete Pass,0,0,3,3,16,24,13
7,Complete,0,0,2,4,16,24,15
17,Incomplete Pass,0,0,1,4,16,24,15
15,Incomplete Pass,0,0,2,4,16,24,15
7,Incomplete Pass,0,0,1,4,19,24,17
24,Complete,0,0,2,4,19,24,17
23,Complete,0,0,1,4,19,24,17
16,Complete,0,0,1,4,19,24,17
0,Complete,0,0,NA,4,25,24,17
22,Incomplete Pass,0,0,3,1,0,0,1
-3,Complete,0,0,1,1,0,3,3
3,Complete,0,0,2,1,0,3,3
12,Complete,0,0,3,1,0,3,3
3,Complete,0,0,1,1,0,3,3
3,Complete,0,0,2,1,0,3,3
2,Complete,0,0,2,1,0,3,3
3,Incomplete Pass,0,0,3,2,0,3,3
27,Incomplete Pass,0,0,2,2,3,3,5
4,Incomplete Pass,1,1,3,2,3,3,5
0,Complete,0,0,1,2,3,9,6
13,Complete,0,0,2,2,3,9,6
-5,Complete,0,0,1,2,3,9,6
0,Incomplete Pass,0,0,1,2,3,9,6
6,Complete,0,0,2,2,3,9,6
11,Incomplete Pass,0,0,1,2,3,9,6
16,Complete,1,0,1,2,3,9,6
43,Incomplete Pass,0,0,2,2,10,9,8
4,Complete,0,0,2,2,10,9,8
15,Complete,0,0,1,3,13,15,11
9,Complete,0,0,2,3,13,15,11
2,Complete,0,0,2,3,13,15,11
10,Complete,0,0,2,3,13,15,11
-2,Complete,0,0,2,3,13,15,11
10,Complete,0,0,1,3,16,15,13
6,Complete,0,0,1,4,23,15,15
5,Complete,0,0,2,4,23,15,15
-3,Complete,1,0,3,4,23,15,15
1,Incomplete Pass,0,0,1,1,0,0,1
13,Complete,0,0,2,1,0,0,1
7,Complete,0,0,2,1,0,0,1
-6,Complete,0,0,2,1,0,0,1
4,Complete,0,0,3,1,0,0,1
5,Complete,0,0,4,1,0,0,1
0,Complete,0,0,1,1,0,0,1
8,Complete,0,0,1,1,7,0,3
47,Incomplete Pass,0,0,1,1,7,0,3
0,Incomplete Pass,0,0,2,1,7,0,3
-3,Complete,0,0,1,1,7,3,5
0,Incomplete Pass,0,0,2,1,7,3,5
7,Incomplete Pass,0,0,3,1,7,3,5
7,Incomplete Pass,0,0,2,2,7,3,7
39,Incomplete Pass,0,0,1,2,7,3,9
15,Incomplete Pass,0,0,2,2,7,3,9
-2,Complete,0,0,2,2,7,3,9
5,Complete,1,0,2,2,7,3,9
10,Complete,0,0,1,2,14,3,11
16,Incomplete Pass,0,0,1,2,14,3,11
11,Incomplete Pass,0,0,2,2,14,3,11
1,Incomplete Pass,0,0,1,2,14,3,11
-3,Complete,0,0,2,2,14,3,11
0,Complete,1,0,1,2,14,3,11
31,Incomplete Pass,0,0,3,3,21,3,14
22,Incomplete Pass,0,0,1,3,21,3,16
4,Incomplete Pass,0,0,3,3,21,3,16
8,Complete,0,0,1,3,21,3,18
-6,Complete,0,0,3,3,21,3,18
17,Complete,0,0,1,3,21,3,18
3,Incomplete Pass,0,0,3,3,21,3,18
-3,Incomplete Pass,0,0,1,3,24,3,20
2,Complete,0,0,2,3,24,3,20
33,Complete,0,0,3,4,24,3,20
7,Incomplete Pass,0,0,2,4,24,3,20
13,Incomplete Pass,0,0,2,4,24,6,22
A.Smith,KC,AirYards,Completion,Touchdown,Interception,Down,Quarter,offScore
1,Complete,0,0,1,1,0,7,4
4,Complete,0,0,1,1,0,7,4
-1,Complete,0,0,2,1,0,7,4
1,Complete,0,0,2,1,0,7,4
11,Complete,0,0,1,1,0,7,4
2,Complete,0,0,1,1,0,7,4
0,Incomplete Pass,0,0,1,1,0,7,4
7,Complete,1,0,3,1,0,7,4
16,Incomplete Pass,0,0,1,2,7,10,6
3,Complete,0,0,2,2,7,17,10
13,Complete,0,0,1,2,7,17,10
6,Complete,0,0,1,2,7,17,10
16,Incomplete Pass,0,0,2,2,7,17,10
11,Complete,0,0,3,2,7,17,10
1,Complete,0,0,1,2,7,17,10
2,Complete,0,0,2,2,7,17,10
8,Complete,0,0,3,2,7,17,10
-3,Complete,0,0,1,2,7,17,10
0,Complete,1,0,2,2,7,17,10
-3,Complete,0,0,1,3,14,17,12
-6,Complete,0,0,2,3,14,17,12
2,Complete,0,0,3,3,14,17,12
41,Complete,1,0,1,3,14,17,14
33,Incomplete Pass,0,0,2,3,21,17,16
12,Incomplete Pass,0,0,3,3,21,17,16
2,Complete,0,0,2,4,21,27,20
31,Complete,1,0,1,4,21,27,20
16,Incomplete Pass,0,0,1,4,28,27,22
3,Complete,0,0,3,4,28,27,22
4,Complete,0,0,1,4,28,27,24
-2,Complete,0,0,1,4,28,27,24
22,Complete,0,0,2,4,28,27,24
0,Incomplete Pass,0,0,1,4,28,27,24
5,Complete,0,0,2,4,28,27,24
7,Complete,0,0,2,1,0,0,1
7,Complete,0,0,1,1,0,0,1
21,Complete,0,0,2,1,0,0,1
3,Incomplete Pass,0,0,1,1,0,0,1
1,Incomplete Pass,0,0,3,1,0,0,1
-1,Complete,0,0,2,1,3,3,3
3,Complete,0,0,3,1,3,3,3
0,Complete,0,0,1,1,3,3,3
41,Incomplete Pass,0,0,1,1,3,3,3
6,Incomplete Pass,0,0,3,1,3,3,3
4,Complete,0,0,2,2,3,3,5
2,Complete,0,0,3,2,3,3,5
2,Complete,0,0,2,2,3,3,7
5,Complete,0,0,2,2,3,3,8
0,Incomplete Pass,0,0,3,2,3,3,8
-2,Complete,0,0,1,3,6,3,11
0,Complete,0,0,1,3,6,3,11
-3,Complete,0,0,1,3,6,3,11
0,Complete,0,0,2,3,6,3,11
6,Complete,0,0,1,3,6,10,13
5,Complete,0,0,3,3,6,10,13
3,Incomplete Pass,0,0,1,4,13,13,15
6,Complete,0,0,2,4,13,13,15
5,Incomplete Pass,0,0,3,4,13,13,15
-2,Complete,0,0,2,4,13,13,17
0,Complete,0,0,1,4,13,13,17
0,Complete,1,0,2,4,13,13,17
31,Complete,0,0,2,4,20,13,19
-3,Complete,0,0,2,1,0,0,2
30,Complete,1,0,1,1,0,0,2
1,Complete,0,0,1,1,7,0,4
1,Complete,1,0,1,1,7,0,4
6,Complete,0,0,2,2,14,7,8
